valid-loss_step,step,valid-loss_epoch,valid-acc_epoch,epoch,train-loss_epoch,train-loss_step
1.771970510482788,0,,,,,
,0,1.771970510482788,0.4232538640499115,0,,
,0,,,0,1.823792815208435,
1.7249540090560913,1,,,,,
,1,1.7249540090560913,0.43277278542518616,1,,
,1,,,1,1.7724789381027222,
1.6820393800735474,2,,,,,
,2,1.6820393800735474,0.432792603969574,2,,
,2,,,2,1.7250888347625732,
1.6430860757827759,3,,,,,
,3,1.6430860757827759,0.432792603969574,3,,
,3,,,3,1.6824191808700562,
1.6080864667892456,4,,,,,
,4,1.6080864667892456,0.432792603969574,4,,
,4,,,4,1.6439061164855957,
1.5771323442459106,5,,,,,
,5,1.5771323442459106,0.432792603969574,5,,
,5,,,5,1.608636498451233,
1.5503547191619873,6,,,,,
,6,1.5503547191619873,0.432792603969574,6,,
,6,,,6,1.5778944492340088,
1.5278127193450928,7,,,,,
,7,1.5278127193450928,0.432792603969574,7,,
,7,,,7,1.551650881767273,
1.509372591972351,8,,,,,
,8,1.509372591972351,0.432792603969574,8,,
,8,,,8,1.5290098190307617,
1.4946403503417969,9,,,,,
,9,1.4946403503417969,0.432792603969574,9,,
,9,,,9,1.5112147331237793,
1.4829790592193604,10,,,,,
,10,1.4829790592193604,0.432792603969574,10,,
,10,,,10,1.4968167543411255,
1.473625898361206,11,,,,,
,11,1.473625898361206,0.432792603969574,11,,
,11,,,11,1.484833002090454,
1.4658066034317017,12,,,,,
,12,1.4658066034317017,0.432792603969574,12,,
,12,,,12,1.4756954908370972,
1.4588608741760254,13,,,,,
,13,1.4588608741760254,0.4328124523162842,13,,
,13,,,13,1.4685324430465698,
1.4523544311523438,14,,,,,
,14,1.4523544311523438,0.4328124523162842,14,,
,14,,,14,1.4613252878189087,
1.4461088180541992,15,,,,,
,15,1.4461088180541992,0.4328124523162842,15,,
,15,,,15,1.454553484916687,
1.4401440620422363,16,,,,,
,16,1.4401440620422363,0.4328124523162842,16,,
,16,,,16,1.4491716623306274,
1.4345803260803223,17,,,,,
,17,1.4345803260803223,0.4328124523162842,17,,
,17,,,17,1.442865252494812,
1.4295053482055664,18,,,,,
,18,1.4295053482055664,0.4328124523162842,18,,
,18,,,18,1.4374605417251587,
1.4248939752578735,19,,,,,
,19,1.4248939752578735,0.4328124523162842,19,,
,19,,,19,1.4323699474334717,
1.4206013679504395,20,,,,,
,20,1.4206013679504395,0.4328124523162842,20,,
,20,,,20,1.428090214729309,
1.416422963142395,21,,,,,
,21,1.416422963142395,0.4328124523162842,21,,
,21,,,21,1.4235538244247437,
1.4121829271316528,22,,,,,
,22,1.4121829271316528,0.43287193775177,22,,
,22,,,22,1.419877290725708,
1.4077868461608887,23,,,,,
,23,1.4077868461608887,0.43293142318725586,23,,
,23,,,23,1.4154601097106934,
1.403222680091858,24,,,,,
,24,1.403222680091858,0.4329710900783539,24,,
,24,,,24,1.4111247062683105,
1.3985331058502197,25,,,,,
,25,1.3985331058502197,0.4331297278404236,25,,
,25,,,25,1.4069215059280396,
1.3937830924987793,26,,,,,
,26,1.3937830924987793,0.43324872851371765,26,,
,26,,,26,1.401672124862671,
1.3890314102172852,27,,,,,
,27,1.3890314102172852,0.4334668517112732,27,,
,27,,,27,1.3976856470108032,
1.3843097686767578,28,,,,,
,28,1.3843097686767578,0.43374449014663696,28,,
,28,,,28,1.392000436782837,
1.3796230554580688,29,,,,,
,29,1.3796230554580688,0.4340023100376129,29,,
,29,,,29,1.3879008293151855,
1.3749476671218872,30,,,,,
,30,1.3749476671218872,0.4344980716705322,30,,
,30,,,30,1.3836928606033325,
1.3702428340911865,31,,,,,
,31,1.3702428340911865,0.4354499578475952,31,,
,31,,,31,1.3783777952194214,
1.3654813766479492,32,,,,,
,32,1.3654813766479492,0.43711578845977783,32,,
,32,,,32,1.373649001121521,
1.3606618642807007,33,,,,,
,33,1.3606618642807007,0.4389997124671936,33,,
,33,,,33,1.370229721069336,
1.3558157682418823,34,,,,,
,34,1.3558157682418823,0.44149842858314514,34,,
,34,,,34,1.3645988702774048,
1.350994348526001,35,,,,,
,35,1.350994348526001,0.4451870024204254,35,,
,35,,,35,1.359871745109558,
1.3462437391281128,36,,,,,
,36,1.3462437391281128,0.4490540623664856,36,,
,36,,,36,1.3553272485733032,
1.3415861129760742,37,,,,,
,37,1.3415861129760742,0.45419028401374817,37,,
,37,,,37,1.3506696224212646,
1.3370094299316406,38,,,,,
,38,1.3370094299316406,0.45938602089881897,38,,
,38,,,38,1.345883846282959,
1.3324655294418335,39,,,,,
,39,1.3324655294418335,0.4639669954776764,39,,
,39,,,39,1.3405392169952393,
1.327889084815979,40,,,,,
,40,1.327889084815979,0.46842899918556213,40,,
,40,,,40,1.3365651369094849,
1.3232166767120361,41,,,,,
,41,1.3232166767120361,0.4725935161113739,41,,
,41,,,41,1.3324778079986572,
1.3184096813201904,42,,,,,
,42,1.3184096813201904,0.4759647846221924,42,,
,42,,,42,1.3275315761566162,
1.3134621381759644,43,,,,,
,43,1.3134621381759644,0.4793955385684967,43,,
,43,,,43,1.3226841688156128,
1.308398962020874,44,,,,,
,44,1.308398962020874,0.4818347692489624,44,,
,44,,,44,1.3174068927764893,
1.3032630681991577,45,,,,,
,45,1.3032630681991577,0.48482924699783325,45,,
,45,,,45,1.312713384628296,
1.2980955839157104,46,,,,,
,46,1.2980955839157104,0.48760560154914856,46,,
,46,,,46,1.3073046207427979,
1.2929258346557617,47,,,,,
,47,1.2929258346557617,0.49081823229789734,47,,
,47,,,47,1.302955985069275,
1.287777066230774,48,,,,,
,48,1.287777066230774,0.4941101670265198,48,,
,48,,,48,1.2974611520767212,
,49,,,49,,1.291882872581482
1.2826590538024902,49,,,,,
,49,1.2826590538024902,0.49752113223075867,49,,
,49,,,49,1.291882872581482,
1.2775800228118896,50,,,,,
,50,1.2775800228118896,0.5014278292655945,50,,
,50,,,50,1.287326455116272,
1.272547721862793,51,,,,,
,51,1.272547721862793,0.5054336786270142,51,,
,51,,,51,1.2823182344436646,
1.2675666809082031,52,,,,,
,52,1.2675666809082031,0.509102463722229,52,,
,52,,,52,1.277840495109558,
1.262636423110962,53,,,,,
,53,1.262636423110962,0.5125331878662109,53,,
,53,,,53,1.2719769477844238,
1.2577515840530396,54,,,,,
,54,1.2577515840530396,0.5159044861793518,54,,
,54,,,54,1.2677336931228638,
1.252905249595642,55,,,,,
,55,1.252905249595642,0.5186808109283447,55,,
,55,,,55,1.2630910873413086,
1.2480937242507935,56,,,,,
,56,1.2480937242507935,0.5214571952819824,56,,
,56,,,56,1.2571994066238403,
1.2433229684829712,57,,,,,
