valid-loss_step,step,valid-loss_epoch,valid-acc_epoch,epoch,train-loss_epoch,train-loss_step
1.7538073062896729,0,,,,,
,0,1.7538073062896729,0.43287193775177,0,,
,0,,,0,1.7960762977600098,
1.7151854038238525,1,,,,,
,1,1.7151854038238525,0.432792603969574,1,,
,1,,,1,1.7547690868377686,
1.6781229972839355,2,,,,,
,2,1.6781229972839355,0.432792603969574,2,,
,2,,,2,1.7161569595336914,
1.6420903205871582,3,,,,,
,3,1.6420903205871582,0.432792603969574,3,,
,3,,,3,1.6794652938842773,
1.607206106185913,4,,,,,
,4,1.607206106185913,0.432792603969574,4,,
,4,,,4,1.6437608003616333,
1.5741615295410156,5,,,,,
,5,1.5741615295410156,0.432792603969574,5,,
,5,,,5,1.6087645292282104,
1.5441466569900513,6,,,,,
,6,1.5441466569900513,0.432792603969574,6,,
,6,,,6,1.57608163356781,
1.5186889171600342,7,,,,,
,7,1.5186889171600342,0.432792603969574,7,,
,7,,,7,1.5468885898590088,
1.4991415739059448,8,,,,,
,8,1.4991415739059448,0.432792603969574,8,,
,8,,,8,1.5211418867111206,
1.4858903884887695,9,,,,,
,9,1.4858903884887695,0.432792603969574,9,,
,9,,,9,1.5030664205551147,
1.4776965379714966,10,,,,,
,10,1.4776965379714966,0.432792603969574,10,,
,10,,,10,1.4907339811325073,
1.471982479095459,11,,,,,
,11,1.471982479095459,0.432792603969574,11,,
,11,,,11,1.4821288585662842,
1.4661688804626465,12,,,,,
,12,1.4661688804626465,0.432792603969574,12,,
,12,,,12,1.4778070449829102,
1.4591670036315918,13,,,,,
,13,1.4591670036315918,0.432792603969574,13,,
,13,,,13,1.4727725982666016,
1.4516825675964355,14,,,,,
,14,1.4516825675964355,0.432792603969574,14,,
,14,,,14,1.4655845165252686,
1.4451262950897217,15,,,,,
,15,1.4451262950897217,0.432792603969574,15,,
,15,,,15,1.458566427230835,
1.4401443004608154,16,,,,,
,16,1.4401443004608154,0.432792603969574,16,,
,16,,,16,1.4525392055511475,
1.4360617399215698,17,,,,,
,17,1.4360617399215698,0.432792603969574,17,,
,17,,,17,1.4469126462936401,
1.431816577911377,18,,,,,
,18,1.431816577911377,0.432792603969574,18,,
,18,,,18,1.443524718284607,
1.4269126653671265,19,,,,,
,19,1.4269126653671265,0.4329909086227417,19,,
,19,,,19,1.4402403831481934,
1.4214537143707275,20,,,,,
,20,1.4214537143707275,0.4330107569694519,20,,
,20,,,20,1.4336506128311157,
1.4157911539077759,21,,,,,
,21,1.4157911539077759,0.4330107569694519,21,,
,21,,,21,1.4284284114837646,
1.410239815711975,22,,,,,
,22,1.410239815711975,0.4330305755138397,22,,
,22,,,22,1.4229048490524292,
1.4047695398330688,23,,,,,
,23,1.4047695398330688,0.4330305755138397,23,,
,23,,,23,1.4190869331359863,
1.3989918231964111,24,,,,,
,24,1.3989918231964111,0.4331297278404236,24,,
,24,,,24,1.411792516708374,
1.3924661874771118,25,,,,,
,25,1.3924661874771118,0.4331892132759094,25,,
,25,,,25,1.407214641571045,
1.3851391077041626,26,,,,,
,26,1.3851391077041626,0.43342721462249756,26,,
,26,,,26,1.4004225730895996,
1.3774429559707642,27,,,,,
,27,1.3774429559707642,0.43487486243247986,27,,
,27,,,27,1.3929492235183716,
1.370023488998413,28,,,,,
,28,1.370023488998413,0.43909886479377747,28,,
,28,,,28,1.3859246969223022,
1.3631671667099,29,,,,,
,29,1.3631671667099,0.4491730332374573,29,,
,29,,,29,1.3787401914596558,
1.3564010858535767,30,,,,,
,30,1.3564010858535767,0.4634513854980469,30,,
,30,,,30,1.3725491762161255,
1.348791241645813,31,,,,,
